HourUTC,PriceArea,SpotPriceDKK,Date,Radius Elnet A/S DT_A_02,Radius Elnet A/S DT_A_03,Radius Elnet A/S DT_B_01,Radius Elnet A/S DT_B_02,Radius Elnet A/S DT_C_01,N1 A-høj,N1 A-lav,N1 A-lav 200 GWh,N1 B 20 GWh,N1 B-Høj,N1 B-lav,N1 C-time
2021-01-01 00:00:00,DK2,358.579987,2021-01-01,12.5,18.0,45.1,64.0,236.3,,,,,,,
2021-01-01 00:00:00,DK1,358.579987,2021-01-01,,,,,,23.0,38.1,34.5,77.19999999999999,122.69999999999999,165.70000000000002,432.2
2021-01-01 01:00:00,DK1,332.459991,2021-01-01,,,,,,23.0,38.1,34.5,77.19999999999999,122.69999999999999,165.70000000000002,432.2
2021-01-01 01:00:00,DK2,332.459991,2021-01-01,12.5,18.0,45.1,64.0,236.3,,,,,,,
2021-01-01 02:00:00,DK1,319.369995,2021-01-01,,,,,,23.0,38.1,34.5,77.19999999999999,122.69999999999999,165.70000000000002,432.2
2021-01-01 02:00:00,DK2,319.369995,2021-01-01,12.5,18.0,45.1,64.0,236.3,,,,,,,
2021-01-01 03:00:00,DK2,300.540009,2021-01-01,12.5,18.0,45.1,64.0,236.3,,,,,,,
2021-01-01 03:00:00,DK1,300.540009,2021-01-01,,,,,,23.0,38.1,34.5,77.19999999999999,122.69999999999999,165.70000000000002,432.2
2021-01-01 04:00:00,DK1,299.130005,2021-01-01,,,,,,23.0,38.1,34.5,77.19999999999999,122.69999999999999,165.70000000000002,432.2
2021-01-01 04:00:00,DK2,299.130005,2021-01-01,12.5,18.0,45.1,64.0,236.3,,,,,,,
2021-01-01 05:00:00,DK2,294.890015,2021-01-01,12.5,18.0,45.1,64.0,236.3,,,,,,,
2021-01-01 05:00:00,DK1,294.890015,2021-01-01,,,,,,23.0,38.1,34.5,77.19999999999999,122.69999999999999,165.70000000000002,432.2
2021-01-01 06:00:00,DK1,298.309998,2021-01-01,,,,,,44.199999999999996,69.6,55.7,138.7,236.29999999999998,308.90000000000003,432.2
2021-01-01 06:00:00,DK2,298.309998,2021-01-01,12.5,18.0,45.1,64.0,236.3,,,,,,,
2021-01-01 07:00:00,DK1,307.089996,2021-01-01,,,,,,66.3,101.2,77.80000000000001,199.6,354.9,454.4,432.2
2021-01-01 07:00:00,DK2,307.089996,2021-01-01,12.5,18.0,45.1,64.0,236.3,,,,,,,
2021-01-01 08:00:00,DK2,333.950012,2021-01-01,12.5,18.0,45.1,64.0,236.3,,,,,,,
2021-01-01 08:00:00,DK1,333.950012,2021-01-01,,,,,,66.3,101.2,77.80000000000001,199.6,354.9,454.4,432.2
2021-01-01 09:00:00,DK1,334.850006,2021-01-01,,,,,,66.3,101.2,77.80000000000001,199.6,354.9,454.4,432.2
